Category: All categories,

Week,$nflx: (United States)
2018-01-07,0
2018-01-14,0
2018-01-21,43
2018-01-28,11
2018-02-04,11
2018-02-11,0
2018-02-18,0
2018-02-25,11
2018-03-04,21
2018-03-11,11
2018-03-18,0
2018-03-25,17
2018-04-01,16
2018-04-08,32
2018-04-15,37
2018-04-22,22
2018-04-29,11
2018-05-06,0
2018-05-13,11
2018-05-20,22
2018-05-27,0
2018-06-03,11
2018-06-10,22
2018-06-17,23
2018-06-24,17
2018-07-01,24
2018-07-08,79
2018-07-15,98
2018-07-22,29
2018-07-29,22
2018-08-05,11
2018-08-12,34
2018-08-19,45
2018-08-26,22
2018-09-02,28
2018-09-09,11
2018-09-16,11
2018-09-23,11
2018-09-30,11
2018-10-07,33
2018-10-14,100
2018-10-21,27
2018-10-28,39
2018-11-04,16
2018-11-11,11
2018-11-18,23
2018-11-25,32
2018-12-02,21
2018-12-09,33
2018-12-16,11
2018-12-23,0
2018-12-30,17
2019-01-06,27
2019-01-13,95
2019-01-20,42
2019-01-27,10
2019-02-03,10
2019-02-10,10
2019-02-17,10
2019-02-24,21
2019-03-03,11
2019-03-10,11
2019-03-17,11
2019-03-24,11
2019-03-31,11
2019-04-07,16
2019-04-14,28
2019-04-21,33
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,11
2019-05-26,0
2019-06-02,11
2019-06-09,0
2019-06-16,11
2019-06-23,0
2019-06-30,12
2019-07-07,0
2019-07-14,56
2019-07-21,11
2019-07-28,11
2019-08-04,28
2019-08-11,22
2019-08-18,0
2019-08-25,11
2019-09-01,0
2019-09-08,30
2019-09-15,20
2019-09-22,10
2019-09-29,10
2019-10-06,10
2019-10-13,51
2019-10-20,30
2019-10-27,10
2019-11-03,0
2019-11-10,10
2019-11-17,15
2019-11-24,31
2019-12-01,10
2019-12-08,0
2019-12-15,0
2019-12-22,11
2019-12-29,11
