Date,Close,Month Number,Weekly Mentions,Volume,PB,PS,MOA
12/31/2019,133.89999,24,25,13780356.0,22.986,14.220999999999998,2.3
12/30/2019,131.60001,24,25,14494280.0,33.346,19.455,-7.92
12/27/2019,139.52,24,0,13326949.0,35.353,20.625999999999998,-5.08
12/26/2019,144.60001,24,0,14677300.0,36.64,21.377,-0.485
12/24/2019,145.57001,24,0,11084699.0,36.885999999999996,21.521,5.43
12/23/2019,140.14,24,0,10815806.0,35.51,20.718000000000004,3.25
12/20/2019,136.89,24,92,12726697.0,34.686,20.237000000000002,-0.84
12/19/2019,137.73,24,92,13771988.0,34.899,20.362000000000002,3.29
12/18/2019,134.44,24,92,9450115.0,34.065,19.875,-0.84
12/17/2019,135.28,24,92,16017918.0,34.278,19.999000000000002,-3.07
12/16/2019,138.35001,24,92,19700732.0,35.056,20.453,5.86
12/13/2019,132.49001,24,22,17473034.0,33.571,19.587,-7.08
12/12/2019,139.57001,24,22,16739131.0,35.365,20.634,-6.13
12/11/2019,145.7,24,22,9539369.0,36.919000000000004,21.54,-1.39
12/10/2019,147.09,24,22,11143151.0,37.271,21.745,1.55
12/9/2019,145.53999,24,22,12591960.0,36.878,21.516,1.28
12/6/2019,144.25999,24,34,15788457.0,36.554,21.326999999999998,-4.08
12/5/2019,148.34,24,34,15842541.0,37.588,21.93,-2.24
12/4/2019,150.58,24,34,26260112.0,38.155,22.261,5.95
12/3/2019,144.63,24,34,27532304.0,36.647,21.381999999999998,8.56
12/2/2019,136.07001,24,34,48174440.0,34.478,20.116,-24.3
11/29/2019,160.37,23,24,7526777.0,40.635999999999996,23.709,-0.635
11/27/2019,161.64,23,24,19115504.0,40.958,23.896,-2.64
11/26/2019,164.28,23,24,16055738.0,41.626999999999995,24.287,6.2
11/25/2019,158.08,23,24,14386881.0,40.056,23.37,-0.67
11/22/2019,158.75,23,68,14853064.0,40.225,23.469,2.84
11/21/2019,155.91,23,68,21586340.0,39.506,23.049,-3.02
11/20/2019,158.92999,23,68,26617634.0,40.271,23.496,5.02
11/19/2019,153.91,23,68,31464764.0,38.999,22.754,-6.21
11/18/2019,160.12,23,68,27647304.0,40.571999999999996,23.671999999999997,2.82
11/15/2019,157.3,23,36,26600096.0,39.858000000000004,23.255,8.6
11/14/2019,148.7,23,36,26222960.0,37.679,21.983,6.33
11/13/2019,142.37,23,36,20654068.0,36.075,21.048000000000002,7.02
11/12/2019,135.35001,23,36,24287752.0,34.296,20.01,6.14
11/11/2019,129.21001,23,36,20702972.0,32.74,19.102,7.27
11/8/2019,121.94,23,100,19221268.0,30.898000000000003,18.027,3.48
11/7/2019,118.46,23,100,52683912.0,30.016,17.512999999999998,-22.59
11/6/2019,141.05,23,100,21711916.0,35.74,20.851999999999997,1.48
11/5/2019,139.57001,23,100,11789376.0,35.365,20.634,-0.94
11/4/2019,140.50999,23,100,20088780.0,35.604,20.773000000000003,-5.99
11/1/2019,146.5,23,23,10946604.0,37.121,21.658,-0.7
10/31/2019,147.2,22,23,13249348.0,37.299,21.761999999999997,-2.23
10/30/2019,149.42999,22,23,10916474.0,37.864000000000004,22.090999999999998,2.19
10/29/2019,147.24001,22,23,16095056.0,37.309,21.768,0.36
10/28/2019,146.88,22,23,24073204.0,37.218,21.714000000000002,13.14
10/25/2019,133.74001,22,0,11485718.0,33.888000000000005,19.772000000000002,2.52
10/24/2019,131.22,22,0,10597875.0,33.25,19.399,2.46
10/23/2019,128.75999,22,0,10702324.0,32.626,19.035999999999998,-0.3
10/22/2019,129.06,22,0,17122368.0,32.702,19.08,-3.97
10/21/2019,133.03,22,0,16408273.0,33.708,19.667,3.09
10/18/2019,129.94,22,36,32463524.0,32.925,19.21,-9.13
10/17/2019,139.07001,22,36,20090072.0,35.239000000000004,20.56,6.57
10/16/2019,132.5,22,36,22426092.0,33.574,19.588,-0.32
10/15/2019,132.82001,22,36,26623532.0,33.655,19.636,13.7
10/14/2019,119.12,22,36,14498592.0,30.184,17.61,-2.48
10/11/2019,121.6,22,26,23218928.0,30.811999999999998,17.977,5.47
10/10/2019,116.13,22,26,26167890.0,29.426,17.168,-1.66
10/9/2019,117.79,22,26,28476592.0,29.846999999999998,17.414,9.79
10/8/2019,108.0,22,26,13903293.0,27.366,15.966,1.75
10/7/2019,106.25,22,26,21165122.0,26.921999999999997,15.708,-0.52
10/4/2019,106.77,22,37,20940468.0,27.054000000000002,15.785,-2.07
10/3/2019,108.84,22,37,22698276.0,27.579,16.090999999999998,6.22
10/2/2019,102.62,22,37,15046503.0,26.003,15.171,0.22
10/1/2019,102.4,22,37,16603369.0,25.947,15.139000000000001,0.64
9/30/2019,101.76,21,37,13667341.0,25.785,15.044,2.02
9/27/2019,99.74,21,26,17550648.0,25.165,14.745,-3.6
9/26/2019,103.34,21,26,16078416.0,26.074,15.277000000000001,-2.96
9/25/2019,106.3,21,26,21048964.0,26.82,15.715,2.77
9/24/2019,103.53,21,26,37250840.0,26.122,15.306,-3.84
9/23/2019,107.37,21,26,28340144.0,27.09,15.873,-0.68
9/20/2019,108.05,21,51,65016348.0,27.261999999999997,15.974,-25.71
9/19/2019,133.75999,21,51,25298956.0,33.749,19.775,3.88
9/18/2019,129.88,21,51,38239044.0,32.77,19.201,-20.64
9/17/2019,150.52,21,51,11182327.0,37.978,22.252,0.98
9/16/2019,149.53999,21,51,11942246.0,37.73,22.108,1.99
9/13/2019,147.55,21,24,9256540.0,37.228,21.813000000000002,-0.23
9/12/2019,147.78,21,24,14002034.0,37.286,21.846999999999998,-1.98
9/11/2019,149.75999,21,24,18660056.0,37.786,22.14,5.62
9/10/2019,144.14,21,24,34820480.0,36.368,21.309,-16.89
9/9/2019,161.03,21,24,23942096.0,40.629,23.805999999999997,-8.83
9/6/2019,169.86,21,23,14892281.0,42.857,25.112,2.93
9/5/2019,166.92999,21,23,23419328.0,42.118,24.678,-1.98
9/4/2019,168.91,21,23,28523784.0,42.617,24.971,12.03
