,Snap Inc,,,,
Date,Open,High,Low,Close,Volume
12/31/2019,15.78,16.35,15.77,16.33,18055248
12/30/2019,16.05,16.17,15.68,15.89,15615250
12/27/2019,16.08,16.18,15.78,16.03,15000091
12/26/2019,15.6,16.18,15.5,15.97,22710032
12/25/2019,,,,,
12/24/2019,15.53,15.65,15.39,15.61,8907875
12/23/2019,15.55,15.59,15.23,15.49,19972576
12/20/2019,15.54,15.74,15.29,15.55,24978376
12/19/2019,15.05,15.47,15,15.46,21127028
12/18/2019,15.07,15.39,15.06,15.11,16838356
12/17/2019,15.1,15.42,15.05,15.1,23302878
12/16/2019,15.21,15.23,14.85,15.11,27311108
12/13/2019,14.75,15.19,14.58,15.09,27837454
12/12/2019,14.16,14.47,14.07,14.45,16450799
12/11/2019,14.01,14.25,13.96,14.23,11705627
12/10/2019,14.23,14.33,13.97,14.09,20385732
12/9/2019,14.64,14.89,14.21,14.23,20272418
12/6/2019,14.86,14.95,14.7,14.74,11223678
12/5/2019,15.05,15.16,14.66,14.68,11987612
12/4/2019,14.99,15.08,14.81,15,11210520
12/3/2019,14.22,14.98,14.16,14.92,19249866
12/2/2019,15.25,15.28,14.54,14.6,25337288
11/29/2019,15.23,15.35,15.19,15.25,6311184
11/28/2019,,,,,
11/27/2019,15.53,15.53,15.23,15.35,11531678
11/26/2019,15.46,15.55,15.16,15.46,20548404
11/25/2019,15.59,15.9,15.49,15.5,25680682
11/22/2019,15.18,15.5,15.01,15.26,20997304
11/21/2019,15.33,15.63,15.06,15.08,21572404
11/20/2019,15.07,15.52,15.01,15.31,21039056
11/19/2019,14.58,15.26,14.39,15.16,24848960
11/18/2019,14.08,14.74,14.04,14.69,33326636
11/15/2019,14.48,14.6,13.5,13.94,33510296
11/14/2019,14.42,14.59,14.21,14.37,16352590
11/13/2019,14.38,14.64,14.34,14.47,8472354
11/12/2019,14.38,14.64,14.32,14.38,13020959
11/11/2019,14.13,14.41,13.96,14.39,13129984
11/8/2019,14.18,14.52,14.09,14.19,14253176
11/7/2019,14.41,14.7,14.14,14.16,17196476
11/6/2019,14.87,14.88,14.23,14.41,23041332
11/5/2019,15.32,15.35,14.81,14.83,18667044
11/4/2019,15.31,15.38,15.15,15.35,17392660
11/1/2019,15.09,15.38,14.93,15.18,19915880
10/31/2019,14.82,15.17,14.55,15.06,21633740
10/30/2019,14.71,14.9,14.43,14.86,19134644
10/29/2019,14.5,14.95,14.37,14.64,21062538
10/28/2019,14.04,14.73,14.01,14.68,37665904
10/25/2019,13.41,14.01,13.32,13.96,28339760
10/24/2019,13.18,13.65,12.71,13.52,54563108
10/23/2019,13.91,14.38,12.93,13.18,112851368
10/22/2019,15,15.03,13.91,14,84611240
10/21/2019,13.76,14.63,13.73,14.58,45431544
10/18/2019,14.15,14.28,13.42,13.52,39057300
10/17/2019,13.73,14.12,13.69,13.78,21096490
10/16/2019,14.02,14.04,13.62,13.67,22875460
10/15/2019,13.87,14.15,13.86,14.09,22110784
10/14/2019,14.19,14.22,13.64,13.76,20694392
10/11/2019,14.24,14.57,14.1,14.16,27746480
10/10/2019,14.19,14.38,14.01,14.08,15524722
10/9/2019,14.3,14.33,14.04,14.21,15560115
10/8/2019,14.3,14.59,14.05,14.15,23736528
10/7/2019,14.47,14.68,14.34,14.47,21590976
10/4/2019,14.9,15.17,14.42,14.52,33704708
10/3/2019,14.58,14.64,13.68,14.3,58435968
10/2/2019,15.28,15.34,14.71,14.8,33225226
10/1/2019,16.04,16.46,15.46,15.52,27745700
9/30/2019,16,16.02,15.4,15.8,20773176
9/27/2019,16.98,17.1,15.7,16.02,35289536
9/26/2019,17.03,17.04,16.66,17,22024084
9/25/2019,17.21,17.21,16.48,17.11,29375758
9/24/2019,17.7,18.17,16.82,17.04,49417912
9/23/2019,17.05,17.32,16.94,17.12,24325716
9/20/2019,16.88,17.14,16.86,17.04,31987246
9/19/2019,16.87,16.97,16.23,16.88,31799504
9/18/2019,16.63,17.04,16.38,16.9,33298350
9/17/2019,16.01,16.9,15.98,16.83,40407384
9/16/2019,15.84,15.99,15.51,15.76,15548621
9/13/2019,15.82,16.13,15.66,16,15916010
9/12/2019,15.25,15.94,15.2,15.77,17944494
9/11/2019,15.28,15.39,14.83,15.31,17825052
9/10/2019,15.13,15.2,14.57,15.02,28741216
9/9/2019,16.35,16.63,15.15,15.31,49568132
9/6/2019,15.97,16.64,15.9,16.62,29128688
9/5/2019,15.93,16.09,15.83,15.87,20776868
9/4/2019,16.03,16.12,15.77,15.8,18326324
9/3/2019,16.09,16.4,15.57,15.93,30209466
9/2/2019,,,,,
8/30/2019,15.93,15.97,15.55,15.83,10603810
8/29/2019,15.81,16.08,15.75,15.78,14749471
