Category: All categories,

Week,$tsla: (United States)
2018-01-07,3
2018-01-14,3
2018-01-21,12
2018-01-28,3
2018-02-04,9
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,3
2018-03-25,6
2018-04-01,16
2018-04-08,16
2018-04-15,9
2018-04-22,6
2018-04-29,41
2018-05-06,22
2018-05-13,3
2018-05-20,16
2018-05-27,3
2018-06-03,6
2018-06-10,22
2018-06-17,13
2018-06-24,10
2018-07-01,34
2018-07-08,6
2018-07-15,17
2018-07-22,17
2018-07-29,65
2018-08-05,79
2018-08-12,43
2018-08-19,65
2018-08-26,35
2018-09-02,71
2018-09-09,31
2018-09-16,34
2018-09-23,50
2018-09-30,100
2018-10-07,42
2018-10-14,19
2018-10-21,64
2018-10-28,16
2018-11-04,18
2018-11-11,10
2018-11-18,13
2018-11-25,9
2018-12-02,12
2018-12-09,25
2018-12-16,29
2018-12-23,11
2018-12-30,27
2019-01-06,6
2019-01-13,9
2019-01-20,9
2019-01-27,18
2019-02-03,21
2019-02-10,24
2019-02-17,15
2019-02-24,45
2019-03-03,28
2019-03-10,22
2019-03-17,25
2019-03-24,19
2019-03-31,19
2019-04-07,44
2019-04-14,10
2019-04-21,52
2019-04-28,28
2019-05-05,16
2019-05-12,16
2019-05-19,61
2019-05-26,46
2019-06-02,60
2019-06-09,29
2019-06-16,36
2019-06-23,13
2019-06-30,23
2019-07-07,19
2019-07-14,13
2019-07-21,59
2019-07-28,26
2019-08-04,23
2019-08-11,3
2019-08-18,22
2019-08-25,9
2019-09-01,6
2019-09-08,6
2019-09-15,9
2019-09-22,18
2019-09-29,12
2019-10-06,9
2019-10-13,9
2019-10-20,32
2019-10-27,21
2019-11-03,14
2019-11-10,20
2019-11-17,57
2019-11-24,9
2019-12-01,6
2019-12-08,6
2019-12-15,20
2019-12-22,33
2019-12-29,24
