,Netflix Inc,,,,
Date,Open,High,Low,Close,Volume
12/31/2019,322,324.92001,321.09,323.57001,3714837
12/30/2019,329.07999,329.17999,322.85999,323.31,4315267
12/27/2019,332.95999,333.82001,326.01001,329.09,5037156
12/26/2019,334.60001,336.45999,332.01001,332.63,3595854
12/25/2019,,,,,
12/24/2019,334.01001,335.70001,331.60001,333.20001,2019322
12/23/2019,337.76001,337.95001,331.01999,333.10001,5767937
12/20/2019,335,338,330.60001,336.89999,9923260
12/19/2019,324.5,332.82999,324.17999,332.22,9833355
12/18/2019,316.26001,325.35999,315.60001,320.79999,11210737
12/17/2019,307.35999,316.79999,306.60001,315.48001,10437127
12/16/2019,300.85001,305.70999,298.63,304.20999,4660166
12/13/2019,298.5,301.79999,297.25,298.5,3883069
12/12/2019,295.67001,299.17001,295.06,298.44,4771404
12/11/2019,294.48999,299.42999,294.20001,298.92999,5607155
12/10/2019,296.12,298.94,292.01999,293.12,10481239
12/9/2019,307.35001,311.48999,302.44,302.5,5766006
12/6/2019,304.70001,307.85001,302.60001,307.35001,4459684
12/5/2019,305.26999,306.48001,298.81,302.85999,4618867
12/4/2019,308.42999,308.42999,303.26999,304.32001,3513551
12/3/2019,302.22,307.35999,301.88,306.16,5272447
12/2/2019,314.39001,314.39001,303.75,309.98999,6223135
11/29/2019,315.78,316.62,313.34,314.66,2411749
11/28/2019,,,,,
11/27/2019,313.92999,316.82001,312.75,315.92999,4100975
11/26/2019,315,316.5,311.69,312.48999,5328348
11/25/2019,308.82999,315.73001,305.25,315.54999,7878943
11/22/2019,309.10001,311.39999,304.41,310.48001,5970056
11/21/2019,306,312.69,304.26001,311.69,7488373
11/20/2019,301.01001,308.25,301,305.16,5115546
11/19/2019,304.01001,305.67001,298.51999,302.60001,5919710
11/18/2019,296,304.98999,293.28,302.57001,8621566
11/15/2019,290.59,295.82001,287.57001,295.03,6337779
11/14/2019,283.25,290.63,283.22,289.62,6539771
11/13/2019,291.03,293.41,281.14001,283.10999,9233066
11/12/2019,295.32001,295.35001,288.70001,292.01001,5774833
11/11/2019,289.16,296.35999,288.5,294.17999,3945885
11/8/2019,288.73001,293.98999,287.51001,291.57001,4509588
11/7/2019,290.70001,298.19,288.26999,289.57001,5928471
11/6/2019,288.19,290.56,285.84,288.59,3438257
11/5/2019,289.98999,291.19,286.31,288.03,4062370
11/4/2019,288,295.39001,287.16,292.85999,5566213
11/1/2019,288.70001,289.12,283.01999,286.81,5594293
10/31/2019,291,291.45001,284.78,287.41,5090021
10/30/2019,284.34,293.48999,283,291.45001,9345562
10/29/2019,281.87,284.41,277.54999,281.20999,4356181
10/28/2019,278.04999,285.75,277.35001,281.85999,6248433
10/25/2019,270.67999,277.76999,270.17999,276.82001,4747829
10/24/2019,271.81,274.01999,268.79999,271.5,4911033
10/23/2019,268.06,273.92001,266.63,271.26999,7154430
10/22/2019,271.16,275.41,265.79999,266.69,11865593
10/21/2019,272.89001,279.94,269,278.04999,12633959
10/18/2019,289.35999,290.89999,273.35999,275.29999,23449638
10/17/2019,304.48999,308.75,288.29999,293.35001,38462344
10/16/2019,283.12,288.17001,280.73999,286.28,18413336
10/15/2019,283.82001,285.87,279.39999,284.25,7728161
10/14/2019,283.92999,286.92999,282,285.53,5543120
10/11/2019,284.79999,287.87,275.89001,282.92999,8817301
10/10/2019,265.97,280.53,265.03,280.48001,10961191
10/9/2019,270.01999,271,264.57001,267.53,6843488
10/8/2019,273.03,275.53,270.64001,270.72,6302269
10/7/2019,271.98999,276.67999,271.28,274.45999,6796811
10/4/2019,268.20001,275.48001,266.47,272.79001,9992774
