,"Roku, Inc",,,
Date,Volume,PB,PS,MOA
12/31/2019,13780356,22.986,14.221,2.3
12/30/2019,14494280,33.346,19.455,-7.92
12/27/2019,13326949,35.353,20.626,-5.08
12/26/2019,14677300,36.64,21.377,-0.485
12/25/2019,,,,
12/24/2019,11084699,36.886,21.521,5.43
12/23/2019,10815806,35.51,20.718,3.25
12/20/2019,12726697,34.686,20.237,-0.84
12/19/2019,13771988,34.899,20.362,3.29
12/18/2019,9450115,34.065,19.875,-0.84
12/17/2019,16017918,34.278,19.999,-3.07
12/16/2019,19700732,35.056,20.453,5.86
12/13/2019,17473034,33.571,19.587,-7.08
12/12/2019,16739131,35.365,20.634,-6.13
12/11/2019,9539369,36.919,21.54,-1.39
12/10/2019,11143151,37.271,21.745,1.55
12/9/2019,12591960,36.878,21.516,1.28
12/6/2019,15788457,36.554,21.327,-4.08
12/5/2019,15842541,37.588,21.93,-2.24
12/4/2019,26260112,38.155,22.261,5.95
12/3/2019,27532304,36.647,21.382,8.56
12/2/2019,48174440,34.478,20.116,-24.3
11/29/2019,7526777,40.636,23.709,-0.635
11/28/2019,,,,
11/27/2019,19115504,40.958,23.896,-2.64
11/26/2019,16055738,41.627,24.287,6.2
11/25/2019,14386881,40.056,23.37,-0.67
11/22/2019,14853064,40.225,23.469,2.84
11/21/2019,21586340,39.506,23.049,-3.02
11/20/2019,26617634,40.271,23.496,5.02
11/19/2019,31464764,38.999,22.754,-6.21
11/18/2019,27647304,40.572,23.672,2.82
11/15/2019,26600096,39.858,23.255,8.6
11/14/2019,26222960,37.679,21.983,6.33
11/13/2019,20654068,36.075,21.048,7.02
11/12/2019,24287752,34.296,20.01,6.14
11/11/2019,20702972,32.74,19.102,7.27
11/8/2019,19221268,30.898,18.027,3.48
11/7/2019,52683912,30.016,17.513,-22.59
11/6/2019,21711916,35.74,20.852,1.48
11/5/2019,11789376,35.365,20.634,-0.94
11/4/2019,20088780,35.604,20.773,-5.99
11/1/2019,10946604,37.121,21.658,-0.7
10/31/2019,13249348,37.299,21.762,-2.23
10/30/2019,10916474,37.864,22.091,2.19
10/29/2019,16095056,37.309,21.768,0.36
10/28/2019,24073204,37.218,21.714,13.14
10/25/2019,11485718,33.888,19.772,2.52
10/24/2019,10597875,33.25,19.399,2.46
10/23/2019,10702324,32.626,19.036,-0.3
10/22/2019,17122368,32.702,19.08,-3.97
10/21/2019,16408273,33.708,19.667,3.09
10/18/2019,32463524,32.925,19.21,-9.13
10/17/2019,20090072,35.239,20.56,6.57
10/16/2019,22426092,33.574,19.588,-0.32
10/15/2019,26623532,33.655,19.636,13.7
10/14/2019,14498592,30.184,17.61,-2.48
10/11/2019,23218928,30.812,17.977,5.47
10/10/2019,26167890,29.426,17.168,-1.66
10/9/2019,28476592,29.847,17.414,9.79
10/8/2019,13903293,27.366,15.966,1.75
10/7/2019,21165122,26.922,15.708,-0.52
10/4/2019,20940468,27.054,15.785,-2.07
10/3/2019,22698276,27.579,16.091,6.22
10/2/2019,15046503,26.003,15.171,0.22
10/1/2019,16603369,25.947,15.139,0.64
9/30/2019,13667341,25.785,15.044,2.02
9/27/2019,17550648,25.165,14.745,-3.6
9/26/2019,16078416,26.074,15.277,-2.96
9/25/2019,21048964,26.82,15.715,2.77
9/24/2019,37250840,26.122,15.306,-3.84
9/23/2019,28340144,27.09,15.873,-0.68
9/20/2019,65016348,27.262,15.974,-25.71
9/19/2019,25298956,33.749,19.775,3.88
9/18/2019,38239044,32.77,19.201,-20.64
9/17/2019,11182327,37.978,22.252,0.98
9/16/2019,11942246,37.73,22.108,1.99
9/13/2019,9256540,37.228,21.813,-0.23
9/12/2019,14002034,37.286,21.847,-1.98
9/11/2019,18660056,37.786,22.14,5.62
9/10/2019,34820480,36.368,21.309,-16.89
9/9/2019,23942096,40.629,23.806,-8.83
9/6/2019,14892281,42.857,25.112,2.93
9/5/2019,23419328,42.118,24.678,-1.98
9/4/2019,28523784,42.617,24.971,12.03
9/3/2019,12616888,39.582,23.193,2.76
9/2/2019,,,,
8/30/2019,10530270,38.189,22.377,1.48
8/29/2019,10435053,37.816,22.158,3.99
8/28/2019,9592996,36.809,21.568,-1.13
8/27/2019,19435392,37.094,21.735,4.01
8/26/2019,11156073,36.083,21.142,5.27
8/23/2019,11347155,34.753,20.363,-1.4
8/22/2019,6603220,35.106,20.57,0.56
8/21/2019,8211885,34.965,20.487,4.32
8/20/2019,6655345,33.875,19.849,-0.7
8/19/2019,9345713,34.052,19.952,3.92
8/16/2019,6368413,33.063,19.373,1.64
8/15/2019,9053574,32.649,19.13,-1.17
8/14/2019,11600681,32.944,19.303,-4.76
8/13/2019,20273220,34.145,20.007,1.03
8/12/2019,19614336,33.885,19.855,8.98
8/9/2019,14591452,31.619,18.527,3.29
8/8/2019,27655456,30.789,18.041,21.06
8/7/2019,13649070,25.476,14.927,2.49
8/6/2019,11136249,24.847,14.559,-4.09
8/5/2019,7328656,25.879,15.164,2.04
8/2/2019,4444485,25.365,14.862,-0.32
8/1/2019,5478407,25.445,14.909,-2.48
7/31/2019,5292158,26.071,15.276,-2.43
7/30/2019,4762618,26.684,15.635,0.63
7/29/2019,10855535,26.525,15.542,-5.32
7/26/2019,6865401,27.867,16.329,3.56
7/25/2019,5276766,26.969,15.802,-0.77
7/24/2019,6138626,27.164,15.916,2.74
7/23/2019,9726893,26.472,15.511,-3.68
7/22/2019,5704450,27.401,16.055,1.75
7/19/2019,6736162,26.959,15.796,-2.17
7/18/2019,9302051,27.507,16.117,-0.32
7/17/2019,11183913,27.587,16.165,-2.6
7/16/2019,21356596,28.243,16.549,7.6
7/15/2019,6340012,26.326,15.425,1.87
7/12/2019,7524214,25.854,15.149,-2.07
7/11/2019,9091835,26.376,15.455,1.04
7/10/2019,8519337,26.114,15.301,0.1
7/9/2019,10727311,26.089,15.286,0.15
7/8/2019,12268306,26.051,15.264,5.14
