,Roku Inc.,,,,
Date,Open,High,Low,Close,Volume
12/31/2019,128.75,134.85001,127.22,133.89999,13780356
12/30/2019,137.5,138.75,130.60001,131.60001,14494280
12/27/2019,144.94,145.10001,139,139.52,13326949
12/26/2019,146.69,149.49001,143.82001,144.60001,14677300
12/25/2019,,,,,
12/24/2019,141.3,146.72,140.5,145.57001,11084699
12/23/2019,137.00999,141.25,136.08,140.14,10815806
12/20/2019,140.14,141.87,136.35001,136.89,12726697
12/19/2019,134.39,141,133.8,137.73,13771988
12/18/2019,136.03,137.59,133.92999,134.44,9450115
12/17/2019,136.49001,137.74001,132.8,135.28,16017918
12/16/2019,134,138.50999,127.53,138.35001,19700732
12/13/2019,138.3,142.84,132.16,132.49001,17473034
12/12/2019,144.73,144.88,136.81,139.57001,16739131
12/11/2019,147.98,148.72,144.67,145.7,9539369
12/10/2019,146.39999,149.27,145.3,147.09,11143151
12/9/2019,143.95,148.03,143.61,145.53999,12591960
12/6/2019,148.60001,149.78999,143.13,144.25999,15788457
12/5/2019,152.47,153.35001,147.55,148.34,15842541
12/4/2019,149,151.97,144.05,150.58,26260112
12/3/2019,138.06,145.89,136.52,144.63,27532304
12/2/2019,145.85001,146.67999,132.39999,136.07001,48174440
11/29/2019,160.88,163.44,159.3,160.37,7526777
11/28/2019,,,,,
11/27/2019,167.05,168.85001,159.61,161.64,19115504
11/26/2019,158.95,164.42,157.60001,164.28,16055738
11/25/2019,160.75999,162.47,157.50999,158.08,14386881
11/22/2019,158.60001,160.58,154.56,158.75,14853064
11/21/2019,159.7,163.33,154.13,155.91,21586340
11/20/2019,152.21001,160.99001,151.17,158.92999,26617634
11/19/2019,153.45,158,147.50999,153.91,31464764
11/18/2019,157.3,165.10001,153.56,160.12,27647304
11/15/2019,151.7,158.23,149.8,157.3,26600096
11/14/2019,142,150.03999,141.19,148.7,26222960
11/13/2019,134.48,142.45,133.06,142.37,20654068
11/12/2019,130.08,135.8,130.08,135.35001,24287752
11/11/2019,120.8,129.55,120.28,129.21001,20702972
11/8/2019,119.2,123.56,118.7,121.94,19221268
11/7/2019,118.75,128.38,116.26,118.46,52683912
11/6/2019,138.64999,143.95,136.81,141.05,21711916
11/5/2019,140.47,142.64999,136.71001,139.57001,11789376
11/4/2019,147.14999,148.85001,137.45,140.50999,20088780
11/1/2019,148.44,148.7,143.41,146.5,10946604
10/31/2019,149.42999,151.3,143.36,147.2,13249348
10/30/2019,147.74001,151.48,146.84,149.42999,10916474
10/29/2019,146.10001,149.50999,143.67999,147.24001,16095056
10/28/2019,137,148.17,136.39999,146.88,24073204
10/25/2019,129.14999,134.10001,127.3,133.74001,11485718
10/24/2019,128.33,131.88,126.41,131.22,10597875
10/23/2019,129,131.87,127.02,128.75999,10702324
10/22/2019,132.81,136.7,127.02,129.06,17122368
10/21/2019,128.75,135.35001,128.21001,133.03,16408273
10/18/2019,137.39,139.07001,124.79,129.94,32463524
10/17/2019,131.94,139.59,130.14,139.07001,20090072
10/16/2019,132.83,134.28,127.81,132.5,22426092
10/15/2019,123.18,132.95,122.53,132.82001,26623532
10/14/2019,120.58,122.1,117.8,119.12,14498592
10/11/2019,123.92,124.02,119.6,121.6,23218928
10/10/2019,118.12,121.7,115.28,116.13,26167890
10/9/2019,112.01,118.22,110.69,117.79,28476592
10/8/2019,105.43,109.58,104.26,108,13903293
10/7/2019,107.8,110.62,104.71,106.25,21165122
10/4/2019,109.05,109.25,104.27,106.77,20940468
10/3/2019,104.01,109.2,101.55,108.84,22698276
10/2/2019,100.91,105.08,99.98,102.62,15046503
10/1/2019,101.96,105.55,100.4,102.4,16603369
9/30/2019,99.4,103.09,98.69,101.76,13667341
9/27/2019,103.33,103.74,98.08,99.74,17550648
9/26/2019,106.49,106.9,100.45,103.34,16078416
9/25/2019,104.92,107.26,102.31,106.3,21048964
9/24/2019,108.39,110.38,98.65,103.53,37250840
9/23/2019,108.55,111.79,105.68,107.37,28340144
9/20/2019,127.39,127.41,103.62,108.05,65016348
9/19/2019,127.81,134.88,127,133.75999,25298956
9/18/2019,143.60001,145.75,127.79,129.88,38239044
9/17/2019,150.25,152.37,146.42,150.52,11182327
9/16/2019,146.97,152.85001,146.03,149.53999,11942246
9/13/2019,146.66,148.7,143.08,147.55,9256540
9/12/2019,150,152.78999,145.82001,147.78,14002034
9/11/2019,146.55,149.94,141.55,149.75999,18660056
9/10/2019,157.22,158.8,139.53,144.14,34820480
9/9/2019,173.60001,176.55,159.8,161.03,23942096
9/6/2019,165.47,170.97,164.85001,169.86,14892281
9/5/2019,167.69,169.45,160.28,166.92999,23419328
9/4/2019,161.49001,169.7,158.55,168.91,28523784
9/3/2019,150.86,157.22,150.17999,156.88,12616888
9/2/2019,,,,,
8/30/2019,150.98,153.28999,148.28999,151.36,10530270
8/29/2019,148,150.10001,146.36,149.88,10435053
8/28/2019,146.08,147.42999,143.3,145.89,9592996
8/27/2019,144.89,147.75,141.21001,147.02,19435392
8/26/2019,140.08,145,139.14,143.00999,11156073
8/23/2019,137.75999,143.36,136.95,137.74001,11347155
8/22/2019,138.25,139.48,135.85001,139.14,6603220
8/21/2019,135.12,140.45,134.34,138.58,8211885
8/20/2019,134.49001,137.96001,133.14999,134.25999,6655345
8/19/2019,132.34,135.8,128.39999,134.96001,9345713
8/16/2019,131.00999,131.89999,127.06,131.03999,6368413
8/15/2019,133,133.94,128.27,129.39999,9053574
8/14/2019,132.45,134.36,128.75999,130.57001,11600681
8/13/2019,137.2,142.10001,133.96001,135.33,20273220
8/12/2019,129.86,136.55,129.42999,134.3,19614336
8/9/2019,121.74,128.2,121.54,125.32,14591452
8/8/2019,118.7,123.45,117.56,122.03,27655456
8/7/2019,98.7,103.84,98.48,100.97,13649070
8/6/2019,103.23,105.19,96.16,98.48,11136249
8/5/2019,97.87,102.75,96,102.57,7328656
8/2/2019,100.84,102.9,99.29,100.53,4444485
8/1/2019,103.66,105.68,99,100.85,5478407
7/31/2019,105.76,107.52,101.1,103.33,5292158
7/30/2019,104,106.74,102.38,105.76,4762618
7/29/2019,110.55,111.84,102.22,105.13,10855535
7/26/2019,107.38,111.53,107.38,110.45,6865401
