Date,Open,Close,Month Number,Weekly Mentions,Volume,PB,PS,MOA,price change,ShiftedPB,ShiftedPS
12/31/2019,128.75,133.89999,24,25,13780356.0,22.986,14.220999999999998,2.3,-0.0429090181818182,22.986,14.220999999999998
12/30/2019,137.5,131.60001,24,25,14494280.0,33.346,19.455,-7.92,-0.03739478404857174,33.346,19.455
12/27/2019,144.94,139.52,24,0,13326949.0,35.353,20.625999999999998,-5.08,-0.014247665144181609,35.353,20.625999999999998
12/26/2019,146.69,144.60001,24,0,14677300.0,36.64,21.377,-0.485,0.030219462137296423,36.64,21.377
12/24/2019,141.3,145.57001,24,0,11084699.0,36.885999999999996,21.521,5.43,0.02284512246150809,36.885999999999996,21.521
12/23/2019,137.00999,140.14,24,0,10815806.0,35.51,20.718000000000004,3.25,-0.02319109461966605,35.51,20.718000000000004
12/20/2019,140.14,136.89,24,92,12726697.0,34.686,20.237000000000002,-0.84,0.024853039660689066,34.686,20.237000000000002
12/19/2019,134.39,137.73,24,92,13771988.0,34.899,20.362000000000002,3.29,-0.011688598103359578,34.899,20.362000000000002
12/18/2019,136.03,134.44,24,92,9450115.0,34.065,19.875,-0.84,-0.008865190939615368,34.065,19.875
12/17/2019,136.49001,135.28,24,92,16017918.0,34.278,19.999000000000002,-3.07,0.032462761194029834,34.278,19.999000000000002
12/16/2019,134.0,138.35001,24,92,19700732.0,35.056,20.453,5.86,-0.04201005061460592,35.056,20.453
12/13/2019,138.3,132.49001,24,22,17473034.0,33.571,19.587,-7.08,-0.035652525392109405,33.571,19.587
12/12/2019,144.73,139.57001,24,22,16739131.0,35.365,20.634,-6.13,-0.015407487498310592,35.365,20.634
12/11/2019,147.98,145.7,24,22,9539369.0,36.919000000000004,21.54,-1.39,0.004713183382048051,36.919000000000004,21.54
12/10/2019,146.39999,147.09,24,22,11143151.0,37.271,21.745,1.55,0.01104543244182008,37.271,21.745
12/9/2019,143.95,145.53999,24,22,12591960.0,36.878,21.516,1.28,-0.029206054562176745,36.878,21.516
12/6/2019,148.60001,144.25999,24,34,15788457.0,36.554,21.326999999999998,-4.08,-0.02708729586148092,36.554,21.326999999999998
12/5/2019,152.47,148.34,24,34,15842541.0,37.588,21.93,-2.24,0.010604026845637668,37.588,21.93
12/4/2019,149.0,150.58,24,34,26260112.0,38.155,22.261,5.95,0.04758800521512381,38.155,22.261
12/3/2019,138.06,144.63,24,34,27532304.0,36.647,21.381999999999998,8.56,-0.0670551890946048,36.647,21.381999999999998
12/2/2019,145.85001,136.07001,24,34,48174440.0,34.478,20.116,-24.3,-0.0031700646444554384,34.478,20.116
11/29/2019,160.88,160.37,23,24,7526777.0,40.635999999999996,23.709,-0.635,-0.03238551331936561,40.635999999999996,23.709
11/27/2019,167.05,161.64,23,24,19115504.0,40.958,23.896,-2.64,0.033532557407990014,40.958,23.896
11/26/2019,158.95,164.28,23,24,16055738.0,41.626999999999995,24.287,6.2,-0.0166707524677003,41.626999999999995,24.287
11/25/2019,160.75999,158.08,23,24,14386881.0,40.056,23.37,-0.67,0.0009457124246083119,40.056,23.37
11/22/2019,158.60001,158.75,23,68,14853064.0,40.225,23.469,2.84,-0.023731997495303647,40.225,23.469
11/21/2019,159.7,155.91,23,68,21586340.0,39.506,23.049,-3.02,0.044149395956284296,39.506,23.049
11/20/2019,152.21001,158.92999,23,68,26617634.0,40.271,23.496,5.02,0.002997719126751437,40.271,23.496
11/19/2019,153.45,153.91,23,68,31464764.0,38.999,22.754,-6.21,0.017927527018436064,38.999,22.754
11/18/2019,157.3,160.12,23,68,27647304.0,40.571999999999996,23.671999999999997,2.82,0.03691496374423219,40.571999999999996,23.671999999999997
11/15/2019,151.7,157.3,23,36,26600096.0,39.858000000000004,23.255,8.6,0.04718309859154922,39.858000000000004,23.255
11/14/2019,142.0,148.7,23,36,26222960.0,37.679,21.983,6.33,0.05867043426531838,37.679,21.983
11/13/2019,134.48,142.37,23,36,20654068.0,36.075,21.048000000000002,7.02,0.04051360701106999,36.075,21.048000000000002
11/12/2019,130.08,135.35001,23,36,24287752.0,34.296,20.01,6.14,0.06961928807947032,34.296,20.01
11/11/2019,120.8,129.21001,23,36,20702972.0,32.74,19.102,7.27,0.02298657718120801,32.74,19.102
11/8/2019,119.2,121.94,23,100,19221268.0,30.898000000000003,18.027,3.48,-0.0024421052631579472,30.898000000000003,18.027
11/7/2019,118.75,118.46,23,100,52683912.0,30.016,17.512999999999998,-22.59,0.017309846181741584,30.016,17.512999999999998
11/6/2019,138.64999,141.05,23,100,21711916.0,35.74,20.851999999999997,1.48,-0.006406990816544476,35.74,20.851999999999997
