Category: All categories

Week,$roku: (United States)
2018-01-07,27
2018-01-14,0
2018-01-21,24
2018-01-28,0
2018-02-04,0
2018-02-11,24
2018-02-18,64
2018-02-25,27
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,25
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,0
2018-05-06,27
2018-05-13,25
2018-05-20,26
2018-05-27,0
2018-06-03,0
2018-06-10,39
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,42
2018-07-22,0
2018-07-29,0
2018-08-05,54
2018-08-12,0
2018-08-19,0
2018-08-26,28
2018-09-02,0
2018-09-09,49
2018-09-16,49
2018-09-23,24
2018-09-30,0
2018-10-07,0
2018-10-14,28
2018-10-21,25
2018-10-28,0
2018-11-04,94
2018-11-11,24
2018-11-18,26
2018-11-25,37
2018-12-02,0
2018-12-09,27
2018-12-16,0
2018-12-23,0
2018-12-30,29
2019-01-06,64
2019-01-13,24
2019-01-20,24
2019-01-27,27
2019-02-03,37
2019-02-10,0
2019-02-17,47
2019-02-24,0
2019-03-03,24
2019-03-10,51
2019-03-17,25
2019-03-24,0
2019-03-31,26
2019-04-07,24
2019-04-14,25
2019-04-21,0
2019-04-28,24
2019-05-05,51
2019-05-12,28
2019-05-19,28
2019-05-26,27
2019-06-02,26
2019-06-09,56
2019-06-16,26
2019-06-23,0
2019-06-30,58
2019-07-07,25
2019-07-14,0
2019-07-21,0
2019-07-28,29
2019-08-04,40
2019-08-11,25
2019-08-18,27
2019-08-25,25
2019-09-01,23
2019-09-08,24
2019-09-15,51
2019-09-22,26
2019-09-29,37
2019-10-06,26
2019-10-13,36
2019-10-20,0
2019-10-27,23
2019-11-03,100
2019-11-10,36
2019-11-17,68
2019-11-24,24
2019-12-01,34
2019-12-08,22
2019-12-15,92
2019-12-22,0
2019-12-29,25
