Category: All categories,

Week,$snap: (United States)
2018-01-07,9
2018-01-14,9
2018-01-21,8
2018-01-28,9
2018-02-04,100
2018-02-11,21
2018-02-18,68
2018-02-25,17
2018-03-04,13
2018-03-11,21
2018-03-18,26
2018-03-25,18
2018-04-01,17
2018-04-08,17
2018-04-15,8
2018-04-22,30
2018-04-29,86
2018-05-06,22
2018-05-13,9
2018-05-20,9
2018-05-27,14
2018-06-03,13
2018-06-10,22
2018-06-17,27
2018-06-24,14
2018-07-01,9
2018-07-08,36
2018-07-15,18
2018-07-22,18
2018-07-29,31
2018-08-05,95
2018-08-12,27
2018-08-19,23
2018-08-26,27
2018-09-02,13
2018-09-09,34
2018-09-16,17
2018-09-23,26
2018-09-30,47
2018-10-07,75
2018-10-14,13
2018-10-21,79
2018-10-28,35
2018-11-04,21
2018-11-11,9
2018-11-18,14
2018-11-25,0
2018-12-02,9
2018-12-09,9
2018-12-16,22
2018-12-23,20
2018-12-30,23
2019-01-06,21
2019-01-13,30
2019-01-20,17
2019-01-27,8
2019-02-03,86
2019-02-10,25
2019-02-17,0
2019-02-24,16
2019-03-03,8
2019-03-10,21
2019-03-17,17
2019-03-24,9
2019-03-31,17
2019-04-07,26
2019-04-14,22
2019-04-21,39
2019-04-28,9
2019-05-05,13
2019-05-12,0
2019-05-19,0
2019-05-26,18
2019-06-02,13
2019-06-09,18
2019-06-16,27
2019-06-23,9
2019-06-30,18
2019-07-07,18
2019-07-14,18
2019-07-21,50
2019-07-28,14
2019-08-04,18
2019-08-11,9
2019-08-18,9
2019-08-25,8
2019-09-01,0
2019-09-08,8
2019-09-15,8
2019-09-22,8
2019-09-29,12
2019-10-06,8
2019-10-13,0
2019-10-20,16
2019-10-27,0
2019-11-03,16
2019-11-10,8
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,16
2019-12-15,0
2019-12-22,0
2019-12-29,0
