,Tesla Inc,,,,,,,
Date,Volume,PB,PS,MOA,,,,
12/31/2019,10292456,11.441,3.081,59.94,,,,
12/30/2019,12601265,12.359,3.057,55.02,,,,
12/27/2019,9956827,12.826,3.172,77.68,,,,
12/26/2019,10648289,12.843,3.176,82.1,,,,
12/25/2019,,,,,,,,
12/24/2019,8054720,12.673,3.135,89.36,,,,
12/23/2019,13332821,12.493,3.09,88.85,,,,
12/20/2019,14785206,12.087,2.99,72.56,,,,
12/19/2019,18120308,12.041,2.978,67.84,,,,
12/18/2019,14136392,11.716,2.898,58.28,,,,
12/17/2019,8503775,11.294,2.794,49.05,,,,
12/16/2019,18220940,11.369,2.812,50.885,,,,
12/13/2019,6574281,10.68,2.642,27.1,,,,
12/12/2019,7776211,10.719,2.651,30.76,,,,
12/11/2019,6919162,10.511,2.6,16.36,,,,
12/10/2019,8839951,10.396,2.571,15.8,,,,
12/9/2019,9040217,10.118,2.503,-15.3,,,,
12/6/2019,7618937,10.01,2.476,-16.33,,,,
12/5/2019,3736976,9.845,2.435,-29.15,,,,
12/4/2019,5536255,9.925,2.455,-16.96,,,,
12/3/2019,6613476,10.019,2.478,-15.97,,,,
12/2/2019,6081986,9.98,2.468,-14.48,,,,
11/29/2019,2465629,9.833,2.432,-16.17,,,,
11/28/2019,,,,,,,,
11/27/2019,5563459,9.873,2.442,-13.8,,,,
11/26/2019,7956239,9.802,2.424,-8.22,,,,
11/25/2019,12345765,10.023,2.479,0.8,,,,
11/22/2019,16870642,9.925,2.455,6.46,,,,
11/21/2019,6110013,10.574,2.615,37.61,,,,
11/20/2019,6733965,10.497,2.596,34.75,,,,
11/19/2019,7736078,10.714,2.65,46.21,,,,
11/18/2019,4408505,10.43,2.58,35.07,,,,
11/15/2019,4812563,10.495,2.596,37.16,,,,
11/14/2019,6471703,10.411,2.575,33.13,,,,
11/13/2019,8467863,10.315,2.551,18.4,,,,
11/12/2019,7359383,10.428,2.579,21.8,,,,
11/11/2019,9993689,10.284,2.544,45.41,,,,
11/8/2019,6074221,10.047,2.485,82.46,,,,
11/7/2019,14467348,10,2.473,79.96,,,,
11/6/2019,7940932,9.733,2.407,73.08,,,,
11/5/2019,6943417,9.454,2.338,60.27,,,,
11/4/2019,8787040,9.461,2.34,55.5,,,,
11/1/2019,6383929,9.337,2.309,53.56,,,,
10/31/2019,5066956,9.385,2.321,57.03,,,,
10/30/2019,9641810,9.388,2.322,58.05,,,,
10/29/2019,12684267,9.424,2.331,68.33,,,,
10/28/2019,18870286,9.766,2.416,82.97,,,,
10/25/2019,30006092,9.779,2.419,83.6,,,,
10/24/2019,29819232,8.931,2.209,59.63,,,,
10/23/2019,11216182,7.59,1.877,16.96,,,,
10/22/2019,4625095,7.617,1.884,24.15,,,,
10/21/2019,5108101,7.555,1.869,20.47,,,,
10/18/2019,5753666,7.657,1.894,13.82,,,,
10/17/2019,4779043,7.807,1.931,17.28,,,,
10/16/2019,6704303,7.741,1.915,18.88,,,,
10/15/2019,6479456,7.685,1.901,15.76,,,,
10/14/2019,10226863,7.658,1.894,14.4,,,,
10/11/2019,8488159,7.387,1.827,19.19,,,,
10/10/2019,6313417,7.294,1.804,21.53,,,,
10/9/2019,6935033,7.287,1.802,3.3,,,,
10/8/2019,8702338,7.154,1.769,-0.57,,,,
10/7/2019,8086957,7.084,1.752,-8.88,,,,
10/4/2019,8021180,6.897,1.706,-12.06,,,,
10/3/2019,15137763,6.945,1.718,-11.76,,,,
10/2/2019,6256548,7.246,1.792,0.32,,,,
10/1/2019,6196290,7.292,1.804,-0.51,,,,
9/30/2019,5946161,7.178,1.775,-5,,,,
9/27/2019,11123179,7.588,1.739,-4.97,,,,
9/26/2019,12078785,7.602,1.742,7.02,,,,
9/25/2019,9444286,7.167,1.642,-3.09,,,,
9/24/2019,12941112,6.995,1.603,-4.24,,,,
9/23/2019,4391630,7.56,1.732,11.65,,,,
9/20/2019,6506264,7.541,1.728,19.94,,,,
9/19/2019,4883135,7.728,1.771,21.59,,,,
9/18/2019,4228103,7.631,1.749,18.18,,,,
9/17/2019,3946909,7.672,1.758,19.18,,,,
9/16/2019,4728096,7.61,1.744,21.1,,,,
9/13/2019,5313145,7.684,1.761,29.61,,,,
9/12/2019,8581210,7.705,1.766,31.79,,,,
9/11/2019,10042777,7.744,1.775,32.1,,,,
9/10/2019,4883714,7.382,1.692,24.14,,,,
