,Tesla Inc,,,,
Date,Open,High,Low,Close,Volume
12/31/2019,405,421.29001,402.07999,418.32999,10292456
12/30/2019,428.79001,429,409.26001,414.70001,12601265
12/27/2019,435,435.31,426.10999,430.38,9956827
12/26/2019,427.91,433.48001,426.35001,430.94,10648289
12/25/2019,,,,,
12/24/2019,418.35999,425.47,412.69,425.25,8054720
12/23/2019,411.78,422.01001,410,419.22,13332821
12/20/2019,410.29001,413,400.17999,405.59,14785206
12/19/2019,397.32001,406.85001,396.5,404.04001,18120308
12/18/2019,380.63,395.22,380.57999,393.14999,14136392
12/17/2019,378.98999,385.5,375.89999,378.98999,8503775
12/16/2019,362.54999,383.60999,362.5,381.5,18220940
12/13/2019,361.04999,365.20999,354.64001,358.39001,6574281
12/12/2019,354.92001,362.73999,353.23001,359.67999,7776211
12/11/2019,351.88,357.19,351.09,352.70001,6919162
12/10/2019,339.95999,350.73001,339.31,348.84,8839951
12/9/2019,336.59,344.45001,335.07999,339.53,9040217
12/6/2019,335,338.85999,334.76999,335.89001,7618937
12/5/2019,332.82999,334.42001,327.25,330.37,3736976
12/4/2019,337.75,337.85999,332.85001,333.03,5536255
12/3/2019,332.62,337.91,332.19,336.20001,6613476
12/2/2019,329.39999,336.38,328.69,334.87,6081986
11/29/2019,331.10999,331.26001,327.5,329.94,2465629
11/28/2019,,,,,
11/27/2019,331.12,333.92999,328.57001,331.29001,5563459
11/26/2019,335.26999,335.5,327.10001,328.92001,7956239
11/25/2019,344.32001,344.57001,334.45999,336.34,12345765
11/22/2019,340.16,341,330,333.04001,16870642
11/21/2019,354.51001,360.84,354,354.82999,6110013
11/20/2019,360,361.20001,349.57001,352.22,6733965
11/19/2019,351.75,359.98999,347.79999,359.51999,7736078
11/18/2019,352.92001,353.14999,346.10001,349.98999,4408505
11/15/2019,350.64001,352.79999,348.35999,352.17001,4812563
11/14/2019,346.10999,353.84,342.91,349.35001,6471703
11/13/2019,355,356.32999,345.17999,346.10999,8467863
11/12/2019,346.89999,350.37,344.04001,349.92999,7359383
11/11/2019,343.95001,349.19,342,345.09,9993689
11/8/2019,334.5,337.45999,332.5,337.14001,6074221
11/7/2019,329.14001,341.5,328.01999,335.54001,14467348
11/6/2019,318,326.72,314.5,326.57999,7940932
11/5/2019,319.62,323.51001,316.12,317.22,6943417
11/4/2019,314.79999,321.94,309.26001,317.47,8787040
11/1/2019,316.32001,316.48001,309.79999,313.31,6383929
10/31/2019,313.10001,319,313,314.92001,5066956
10/30/2019,313,318.79001,309.97,315.01001,9641810
10/29/2019,319.98999,324.29999,314.75,316.22,12684267
10/28/2019,327.54001,340.84,322.60001,327.70999,18870286
10/25/2019,297.72,330,296.10999,328.13,30006092
10/24/2019,298.37,304.92999,289.20001,299.67999,29819232
10/23/2019,254.5,256.14001,251.35001,254.67999,11216182
10/22/2019,254.32001,258.32999,250.85001,255.58,4625095
10/21/2019,258.32999,259.5,250.17999,253.5,5108101
10/18/2019,260.70001,262.79999,255.10001,256.95001,5753666
10/17/2019,262.5,264.78,260.17001,261.97,4779043
10/16/2019,257.39001,262.10001,256.92001,259.75,6704303
10/15/2019,257.70001,260,254.12,257.89001,6479456
10/14/2019,247.89999,258.54999,247.13,256.95999,10226863
10/11/2019,247.14999,251.08,246.81,247.89,8488159
10/10/2019,245.28,249.28,241.58,244.74001,6313417
10/9/2019,241.32001,247.28999,240.64999,244.53,6935033
10/8/2019,235.87,243.94,234.5,240.05,8702338
10/7/2019,229.8,238.56,228.55,237.72,8086957
10/4/2019,231.61,234.78,228.07001,231.42999,8021180
10/3/2019,231.86,234.48,224.28,233.03,15137763
