Date,Open,Close,Month Number,Weekly Mentions,Volume,PB,PS,MOA,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,price change,ShiftedPB,ShiftedPS
12/31/2019,405.0,418.32999,24,24,10292456.0,11.440999999999999,3.0810000000000004,59.94,,,,,-0.032859907347188244,11.440999999999999,3.0810000000000004
12/30/2019,428.79000999999994,414.70001,24,24,12601265.0,12.359000000000002,3.057,55.02,,,,,-0.010620689655172424,12.359000000000002,3.057
12/27/2019,435.0,430.38,24,33,9956827.0,12.825999999999999,3.1719999999999997,77.68,,,,,0.007080928232572206,12.825999999999999,3.1719999999999997
12/26/2019,427.91,430.94,24,33,10648289.0,12.843,3.176,82.1,,,,,0.01646909399725346,12.843,3.176
12/24/2019,418.35999,425.25,24,33,8054720.0,12.673,3.135,89.36,,,,,0.018067900335130543,12.673,3.135
12/23/2019,411.78,419.22,24,33,13332821.0,12.493,3.09,88.85,,,,,-0.011455336190125663,12.493,3.09
12/20/2019,410.29001,405.59,24,20,14785206.0,12.087,2.99,72.56,,,,,0.0169133188132155,12.087,2.99
12/19/2019,397.32001,404.04001,24,20,18120308.0,12.040999999999999,2.978,67.84,,,,,0.03289280928986157,12.040999999999999,2.978
12/18/2019,380.63,393.14999,24,20,14136392.0,11.716,2.898,58.28,,,,,0.0,11.716,2.898
12/17/2019,378.98999,378.98999,24,20,8503775.0,11.294,2.7939999999999996,49.05,,,,,0.052268681623739724,11.294,2.7939999999999996
12/16/2019,362.54999,381.5,24,20,18220940.0,11.369000000000002,2.812,50.885,,,,,-0.007367345447094354,11.369000000000002,2.812
12/13/2019,361.04999,358.39001,24,6,6574281.0,10.68,2.642,27.1,,,,,0.013411416279403307,10.68,2.642
12/12/2019,354.92001,359.67999,24,6,7776211.0,10.719000000000001,2.6510000000000002,30.76,,,,,0.0023303683073775854,10.719000000000001,2.6510000000000002
12/11/2019,351.88,352.70001,24,6,6919162.0,10.511,2.6,16.36,,,,,0.026120750268288837,10.511,2.6
12/10/2019,339.95999,348.84,24,6,8839951.0,10.395999999999999,2.571,15.8,,,,,0.008734662348851712,10.395999999999999,2.571
12/9/2019,336.59,339.53,24,6,9040217.0,10.118,2.503,-15.3,,,,,0.00265674626865677,10.118,2.503
12/6/2019,335.0,335.89001,24,6,7618937.0,10.01,2.476,-16.33,,,,,-0.0073911308292861615,10.01,2.476
12/5/2019,332.82999,330.37,24,6,3736976.0,9.845,2.435,-29.15,,,,,-0.013974833456698822,9.845,2.435
12/4/2019,337.75,333.03,24,6,5536255.0,9.925,2.455,-16.96,,,,,0.010763062954723155,9.925,2.455
12/3/2019,332.62,336.20001,24,6,6613476.0,10.019,2.478,-15.97,,,,,0.01660598107486282,10.019,2.478
12/2/2019,329.39999,334.87,24,6,6081986.0,9.98,2.468,-14.48,,,,,-0.0035335388098679367,9.98,2.468
11/29/2019,331.10999,329.94,23,9,2465629.0,9.833,2.432,-16.17,,,,,0.0005134392365305347,9.833,2.432
11/27/2019,331.12,331.29001,23,9,5563459.0,9.873,2.4419999999999997,-13.8,,,,,-0.018939899750645788,9.873,2.4419999999999997
11/26/2019,335.26999,328.92001,23,9,7956239.0,9.802,2.424,-8.22,,,,,-0.023176143611287794,9.802,2.424
11/25/2019,344.32001,336.34,23,9,12345765.0,10.023,2.479,0.8,,,,,-0.020931297036688702,10.023,2.479
11/22/2019,340.16,333.04001,23,57,16870642.0,9.925,2.455,6.46,,,,,0.0009025979266424291,9.925,2.455
11/21/2019,354.51001,354.82999,23,57,6110013.0,10.574000000000002,2.615,37.61,,,,,-0.021611111111111036,10.574000000000002,2.615
11/20/2019,360.0,352.22,23,57,6733965.0,10.497,2.596,34.75,,,,,0.02208952380952383,10.497,2.596
11/19/2019,351.75,359.51999,23,57,7736078.0,10.714,2.65,46.21,,,,,-0.008302221231377652,10.714,2.65
11/18/2019,352.92001,349.98999,23,57,4408505.0,10.43,2.58,35.07,,,,,0.0043634495675492725,10.43,2.58
11/15/2019,350.64001,352.17001,23,20,4812563.0,10.495,2.596,37.16,,,,,0.009361243805762485,10.495,2.596
11/14/2019,346.10999,349.35001,23,20,6471703.0,10.411,2.575,33.13,,,,,-0.025042281690140895,10.411,2.575
11/13/2019,355.0,346.10999,23,20,8467863.0,10.315,2.551,18.4,,,,,0.008734505873003838,10.315,2.551
11/12/2019,346.89999,349.92999,23,20,7359383.0,10.427999999999999,2.5789999999999997,21.8,,,,,0.003314406067323431,10.427999999999999,2.5789999999999997
11/11/2019,343.95001,345.09,23,20,9993689.0,10.284,2.544,45.41,,,,,0.007892406576980622,10.284,2.544
11/8/2019,334.5,337.14001,23,14,6074221.0,10.047,2.485,82.46,,,,,0.019444612643719543,10.047,2.485
11/7/2019,329.14001,335.54001,23,14,14467348.0,10.0,2.4730000000000003,79.96,,,,,0.026981100628930846,10.0,2.4730000000000003
11/6/2019,318.0,326.57999,23,14,7940932.0,9.732999999999999,2.407,73.08,,,,,-0.00750891683874594,9.732999999999999,2.407
11/5/2019,319.62,317.22,23,14,6943417.0,9.454,2.338,60.27,,,,,0.00848160763918718,9.454,2.338
11/4/2019,314.79999,317.47,23,14,8787040.0,9.461,2.34,55.5,,,,,-0.009515711636453294,9.461,2.34
11/1/2019,316.32001,313.31,23,21,6383929.0,9.337,2.309,53.56,,,,,0.005812839162796556,9.337,2.309
10/31/2019,313.10001,314.92001,22,21,5066956.0,9.385,2.3209999999999997,57.03,,,,,0.006421757188498475,9.385,2.3209999999999997
10/30/2019,313.0,315.01001,22,21,9641810.0,9.388,2.322,58.05,,,,,-0.011781587292777347,9.388,2.322
10/29/2019,319.98999,316.22,22,21,12684267.0,9.424,2.331,68.33,,,,,0.0005189595005508169,9.424,2.331
10/28/2019,327.54001,327.70999,22,21,18870286.0,9.766,2.416,82.97,,,,,0.10214295311030487,9.766,2.416
10/25/2019,297.72,328.13,22,32,30006092.0,9.779,2.419,83.6,,,,,0.004390488319871202,9.779,2.419
10/24/2019,298.37,299.67999,22,32,29819232.0,8.931000000000001,2.209,59.63,,,,,0.0007072298624754564,8.931000000000001,2.209
10/23/2019,254.5,254.67999,22,32,11216182.0,7.59,1.8769999999999998,16.96,,,,,0.004954348657032595,7.59,1.8769999999999998
10/22/2019,254.32001,255.58,22,32,4625095.0,7.617000000000001,1.8840000000000001,24.15,,,,,-0.01869697745894702,7.617000000000001,1.8840000000000001
10/21/2019,258.32999,253.5,22,32,5108101.0,7.555,1.869,20.47,,,,,-0.014384349275629102,7.555,1.869
10/18/2019,260.70001,256.95001,22,9,5753666.0,7.657,1.8940000000000001,13.82,,,,,-0.002019047619047515,7.657,1.8940000000000001
10/17/2019,262.5,261.97,22,9,4779043.0,7.807,1.931,17.28,,,,,0.00916892617549524,7.807,1.931
10/16/2019,257.39001,259.75,22,9,6704303.0,7.7410000000000005,1.915,18.88,,,,,0.0007372913955261302,7.7410000000000005,1.915
10/15/2019,257.70001,257.89001,22,9,6479456.0,7.685,1.901,15.76,,,,,0.03654699623021365,7.685,1.901
