,Twitter Incorporated,,,,,,,
Date,Volume,PB,PS,MOA,,,,
12/31/2019,11055160,2.871,7.223,1.66,,,,
12/30/2019,9402711,2.952,7.393,1.73,,,,
12/27/2019,10412931,3,7.513,2,,,,
12/26/2019,9807822,3.008,7.531,2.79,,,,
12/25/2019,,,,,,,,
12/24/2019,4290460,2.996,7.501,2.31,,,,
12/23/2019,13991866,2.989,7.485,2.39,,,,
12/20/2019,21859644,2.962,7.416,2.13,,,,
12/19/2019,19906716,2.952,7.393,2.06,,,,
12/18/2019,19051476,2.92,7.312,1.26,,,,
12/17/2019,11911259,2.83,7.086,-0.21,,,,
12/16/2019,15862114,2.855,7.148,-0.07,,,,
12/13/2019,12844529,2.801,7.014,-0.78,,,,
12/12/2019,18921528,2.793,6.994,-0.66,,,,
12/11/2019,11013913,2.816,7.051,0.01,,,,
12/10/2019,12375761,2.751,6.887,-0.19,,,,
12/9/2019,10062268,2.785,6.973,0.42,,,,
12/6/2019,10877458,2.783,6.968,1.02,,,,
12/5/2019,11069841,2.769,6.934,0.6,,,,
12/4/2019,9778965,2.765,6.924,0.51,,,,
12/3/2019,16559336,2.763,6.917,0.72,,,,
12/2/2019,14550075,2.804,7.021,1.53,,,,
11/29/2019,7814538,2.849,7.134,1.83,,,,
11/28/2019,,,,,,,,
11/27/2019,14190189,2.873,7.194,1.83,,,,
11/26/2019,16356423,2.854,7.146,1.75,,,,
11/25/2019,14050926,2.815,7.049,1.49,,,,
11/22/2019,14188275,2.768,6.931,0.49,,,,
11/21/2019,24304440,2.746,6.876,-0.02,,,,
11/20/2019,14289029,2.689,6.733,-0.88,,,,
11/19/2019,9962480,2.714,6.795,-0.18,,,,
11/18/2019,14537556,2.718,6.807,-0.48,,,,
11/15/2019,12170598,2.696,6.751,-0.61,,,,
11/14/2019,13714694,2.663,6.668,-0.96,,,,
11/13/2019,9316396,2.68,6.712,-0.98,,,,
11/12/2019,15144150,2.678,6.705,-1.25,,,,
11/11/2019,9693171,2.704,6.772,-1.41,,,,
11/8/2019,10624448,2.692,6.742,-9.62,,,,
11/7/2019,22740598,2.678,6.705,-9.76,,,,
